clips/audio_1.wav|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
clips/audio_24.wav|See the Pricing section below for additional information.|See the Pricing section below for additional information.
clips/audio_25.wav|Effective June 26 2023, Alice voices are no longer supported for Text-To-Speech and any request will be redirected to an alternate voice|Effective June 26 2023, Alice voices are no longer supported for Text-To-Speech and any request will be redirected to an alternate voice
clips/audio_26.wav|For more information, visit the Changeloglink takes you to an external page.|For more information, visit the Changeloglink takes you to an external page.
clips/audio_27.wav|You can test the different voices from the T T S Settingslink takes you to an external page page in the Twi-lee-oh Console.|You can test the different voices from the T T S Settingslink takes you to an external page page in the Twi-lee-oh Console.
clips/audio_28.wav|Note Invalid combination of voice and language attributes may result in error and Say instruction failure.|Note Invalid combination of voice and language attributes may result in error and Say instruction failure.
clips/audio_29.wav|At the moment only Amazon Polly has this capability for a limited number of voices|At the moment only Amazon Polly has this capability for a limited number of voices
clips/audio_30.wav|With these T T S settings, Twi-lee-oh uses the Man voice and the en-US American English accent and pronunciation when executing the following TwiML|With these T T S settings, Twi-lee-oh uses the Man voice and the en-US American English accent and pronunciation when executing the following TwiML
clips/audio_31.wav|This means that you can specify the language without needing to specifying the voice when using T T S capabilities in your application.|This means that you can specify the language without needing to specifying the voice when using T T S capabilities in your application.
clips/audio_32.wav|For example, if you configure English Britishen-gigabyte to use Amazon Polly and Emma, Twi-lee-oh uses the Amazon Polly Emma voice when executing Say with the language attribute set to en-gigabyte and no voice attribute see TwiML example below.|For example, if you configure English Britishen-gigabyte to use Amazon Polly and Emma, Twi-lee-oh uses the Amazon Polly Emma voice when executing Say with the language attribute set to en-gigabyte and no voice attribute see TwiML example below.
clips/audio_33.wav|For example, if your Account's default T T S voice is Amazon Polly Salli but you want to use Amazon Polly Joanna for a specific call, set the voice attribute to Polly.Joanna|For example, if your Account's default T T S voice is Amazon Polly Salli but you want to use Amazon Polly Joanna for a specific call, set the voice attribute to Polly.Joanna
clips/audio_34.wav|For example, if your Language Mapping for English Britishen-gigabyte uses Amazon Polly and Emma but you want to use the Amazon Polly Joanna voice for a specific Say instruction, you would use the voice attribute set to Polly.Joanna|For example, if your Language Mapping for English Britishen-gigabyte uses Amazon Polly and Emma but you want to use the Amazon Polly Joanna voice for a specific Say instruction, you would use the voice attribute set to Polly.Joanna
clips/audio_35.wav|For example, if your Account's default T T S Language is English US en-US, but wish to use German for a specific call, set the language attribute to de-DE in your TwiML|For example, if your Account's default T T S Language is English US en-US, but wish to use German for a specific call, set the language attribute to de-DE in your TwiML
clips/audio_36.wav|Speech Synthesis Markup Language SSMLlink takes you to an external page uses X M L-based tags that allow you to fine-tune the synthesized speech generated by T T S|Speech Synthesis Markup Language SSMLlink takes you to an external page uses X M L-based tags that allow you to fine-tune the synthesized speech generated by T T S
clips/audio_37.wav|In addition, SSML support including tags and accepted values may differ between T T S providers andor may be limited to specific voices|In addition, SSML support including tags and accepted values may differ between T T S providers andor may be limited to specific voices
clips/audio_38.wav|Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure.|Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure.
clips/audio_39.wav|The SSML prah-suh-dee tag allows you to control the volume, rate, and pitch of synthesized speech.|The SSML prah-suh-dee tag allows you to control the volume, rate, and pitch of synthesized speech.
clips/audio_40.wav|Without say-as, a phone number would be pronounced as a number, e.g|Without say-as, a phone number would be pronounced as a number, e.g
clips/audio_41.wav|The TwiML example below uses say-as so that the synthesized speech reads the phone number as "four one five, five five five, one two one two."|The TwiML example below uses say-as so that the synthesized speech reads the phone number as "four one five, five five five, one two one two."
clips/audio_42.wav|You can generate TwiML with SSML within the Say verb using one of Twi-lee-oh's helper libraries for Clink takes you to an external page, Javalink takes you to an external page, Node J Slink takes you to an external page, P H Plink takes you to an external page, Pythonlink takes you to an external page, Rubylink takes you to an external page, or Golink takes you to an external page.|You can generate TwiML with SSML within the Say verb using one of Twi-lee-oh's helper libraries for Clink takes you to an external page, Javalink takes you to an external page, Node J Slink takes you to an external page, P H Plink takes you to an external page, Pythonlink takes you to an external page, Rubylink takes you to an external page, or Golink takes you to an external page.
clips/audio_43.wav|Note Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure|Note Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure
clips/audio_44.wav|A software development kit S D K is a collection of software development tools in one installable package|A software development kit S D K is a collection of software development tools in one installable package
clips/audio_45.wav|They are normally specific to a hardware platform and operating system combination|They are normally specific to a hardware platform and operating system combination
clips/audio_46.wav|Some S D Ks are required for developing a platform-specific app|Some S D Ks are required for developing a platform-specific app
clips/audio_47.wav|For example, the development of an Android app on the Java platform requires a Java Development Kit|For example, the development of an Android app on the Java platform requires a Java Development Kit
clips/audio_48.wav|For iOS applications apps the iOS S D K is required|For iOS applications apps the iOS S D K is required
clips/audio_49.wav|For Universal Windows Platform the .NET Framework S D K might be used|For Universal Windows Platform the .NET Framework S D K might be used
clips/audio_50.wav|There are also S D Ks that add additional features and can be installed in apps to provide analytics, data about application activity, and monetization options|There are also S D Ks that add additional features and can be installed in apps to provide analytics, data about application activity, and monetization options
clips/audio_51.wav|Some prominent creators of these types of S D Ks include Google, Smaato, InMobi, and Facebook.|Some prominent creators of these types of S D Ks include Google, Smaato, InMobi, and Facebook.
clips/audio_52.wav|An S D K can take the form of application programming interfaces1 in the form of on-device libraries of reusable functions used to interface to a particular programming language, or it may be as complex as hardware-specific tools that can communicate with a particular embedded system.2 Common tools include debugging facilities and other utilities, often presented in an integrated development environment.3 S D Ks may include sample software andor technical notes along with documentation, and tutorials to help clarify points made by the primary reference material.45|An S D K can take the form of application programming interfaces1 in the form of on-device libraries of reusable functions used to interface to a particular programming language, or it may be as complex as hardware-specific tools that can communicate with a particular embedded system.2 Common tools include debugging facilities and other utilities, often presented in an integrated development environment.3 S D Ks may include sample software andor technical notes along with documentation, and tutorials to help clarify points made by the primary reference material.45
clips/audio_53.wav|S D Ks often include licenses that make them unsuitable for building software intended to be developed under an incompatible license|S D Ks often include licenses that make them unsuitable for building software intended to be developed under an incompatible license
clips/audio_54.wav|For example, a proprietary S D K is generally incompatible with free software development, while a GNU General Public License'd S D K could be incompatible with proprietary software development, for legal reasons.67 However, S D Ks built under the GNU Lesser General Public License are typically usable for proprietary development.8  In cases where the underlying technology is new, S D Ks may include hardware|For example, a proprietary S D K is generally incompatible with free software development, while a GNU General Public License'd S D K could be incompatible with proprietary software development, for legal reasons.67 However, S D Ks built under the GNU Lesser General Public License are typically usable for proprietary development.8  In cases where the underlying technology is new, S D Ks may include hardware
clips/audio_55.wav|For example, AirTag's 2021 near-field communication S D K included both the paying and the reading halves of the necessary hardware stack.9|For example, AirTag's 2021 near-field communication S D K included both the paying and the reading halves of the necessary hardware stack.9
clips/audio_56.wav|The average Android mobile app implements 15.6 separate S D Ks, with gaming apps implementing on average 17.5 different S D Ks.1011 The most popular S D K categories for Android mobile apps are analytics and advertising.11|The average Android mobile app implements 15.6 separate S D Ks, with gaming apps implementing on average 17.5 different S D Ks.1011 The most popular S D K categories for Android mobile apps are analytics and advertising.11
clips/audio_57.wav|S D Ks can be unsafe because they are implemented within apps yet run separate code|S D Ks can be unsafe because they are implemented within apps yet run separate code
clips/audio_58.wav|Malicious S D Ks with honest intentions or not can violate users' data privacy, damage app performance, or even cause apps to be banned from Google Play or the App Store.12 New technologies allow app developers to control and monitor client S D Ks in real time.|Malicious S D Ks with honest intentions or not can violate users' data privacy, damage app performance, or even cause apps to be banned from Google Play or the App Store.12 New technologies allow app developers to control and monitor client S D Ks in real time.
clips/audio_59.wav|Providers of S D Ks for specific systems or subsystems sometimes substitute a more specific term instead of software|Providers of S D Ks for specific systems or subsystems sometimes substitute a more specific term instead of software
clips/audio_60.wav|Examples of software development kits for various platforms include|Examples of software development kits for various platforms include
clips/audio_61.wav|Using T T S|Using T T S
clips/audio_62.wav|T T S Models|T T S Models
clips/audio_63.wav| T T Sv2 is here with 16 languages and better performance across the board.| T T Sv2 is here with 16 languages and better performance across the board.
clips/audio_64.wav| T T S fine-tuning code is out| T T S fine-tuning code is out
clips/audio_65.wav| T T S can now stream with two hundredms latency.| T T S can now stream with two hundredms latency.
clips/audio_66.wav| T T S, our production T T S model that can speak 13 languages, is released Blog Post, Demo, Docs| T T S, our production T T S model that can speak 13 languages, is released Blog Post, Demo, Docs
clips/audio_67.wav| You can use 1100 Fairseq models with T T S.| You can use 1100 Fairseq models with T T S.
clips/audio_68.wav| T T S now supports Tortoise with faster inference| T T S now supports Tortoise with faster inference
clips/audio_69.wav| Voice generation with prompts - Prompt to Voice - is live on Coqui Studio!! - Blog Post| Voice generation with prompts - Prompt to Voice - is live on Coqui Studio!! - Blog Post
clips/audio_70.wav| Voice generation with fusion - Voice fusion - is live on Coqui Studio.| Voice generation with fusion - Voice fusion - is live on Coqui Studio.
clips/audio_71.wav| Voice cloning is live on Coqui Studio.| Voice cloning is live on Coqui Studio.
clips/audio_72.wav|T T S is a library for advanced Text-to-Speech generation.|T T S is a library for advanced Text-to-Speech generation.
clips/audio_73.wav| pre-trained models in 1100 languages.| pre-trained models in 1100 languages.
clips/audio_74.wav| Tools for training new models and fine-tuning existing models in any language.| Tools for training new models and fine-tuning existing models in any language.
clips/audio_75.wav| Utilities for dataset analysis and curation.| Utilities for dataset analysis and curation.
clips/audio_76.wav|Platforms|Platforms
clips/audio_77.wav|T T SREADME.md|T T SREADME.md
clips/audio_78.wav|T T S Releases and Experimental Models|T T S Releases and Experimental Models
clips/audio_79.wav|T T S Papers|T T S Papers
clips/audio_80.wav|Underlined T T S and Judy are internal T T S models that are not released open-source|Underlined T T S and Judy are internal T T S models that are not released open-source
clips/audio_81.wav|High-performance Deep Learning models for Text2Speech tasks.|High-performance Deep Learning models for Text2Speech tasks.
clips/audio_82.wav|Text2Spec models Tacotron, Tacotron2, Glow-T T S, SpeedySpeech.|Text2Spec models Tacotron, Tacotron2, Glow-T T S, SpeedySpeech.
clips/audio_83.wav|Speaker Encoder to compute speaker embeddings efficiently.|Speaker Encoder to compute speaker embeddings efficiently.
clips/audio_84.wav|Vocoder models MelG A N, Multiband-MelG A N, G A N-T T S, ParallelWaveG A N, WaveGrad, WaveR N N|Vocoder models MelG A N, Multiband-MelG A N, G A N-T T S, ParallelWaveG A N, WaveGrad, WaveR N N
clips/audio_85.wav|Support for Multi-speaker T T S.|Support for Multi-speaker T T S.
clips/audio_86.wav|Efficient, flexible, lightweight but feature complete Trainer A P I.|Efficient, flexible, lightweight but feature complete Trainer A P I.
clips/audio_87.wav|Tools to curate Text2Speech datasets underdataset_analysis.|Tools to curate Text2Speech datasets underdataset_analysis.
clips/audio_88.wav|Glow-T T S paper|Glow-T T S paper
clips/audio_89.wav|Align-T T S paper|Align-T T S paper
clips/audio_90.wav|SC-GlowT T S paper|SC-GlowT T S paper
clips/audio_91.wav|Neural HMM T T S paper|Neural HMM T T S paper
clips/audio_92.wav|Delightful T T S paper|Delightful T T S paper
clips/audio_93.wav|T T S blog|T T S blog
clips/audio_94.wav| YourT T S paper| YourT T S paper
clips/audio_95.wav|Guided Attention paper|Guided Attention paper
clips/audio_96.wav|alignment Network paper|alignment Network paper
clips/audio_97.wav|MelG A N paper|MelG A N paper
clips/audio_98.wav|MultiBandMelG A N paper|MultiBandMelG A N paper
clips/audio_99.wav|ParallelWaveG A N paper|ParallelWaveG A N paper
clips/audio_100.wav|G A N-T T S discriminators paper|G A N-T T S discriminators paper
clips/audio_101.wav|WaveR N N origin|WaveR N N origin
clips/audio_102.wav|HiFiG A N paper|HiFiG A N paper
clips/audio_103.wav|T T S is tested on Ubuntu 18.04 with python  3.9,  3.12..|T T S is tested on Ubuntu 18.04 with python  3.9,  3.12..
clips/audio_104.wav|If you are only interested in synthesizing speech with the released T T S models, installing from PyPI is the easiest option.|If you are only interested in synthesizing speech with the released T T S models, installing from PyPI is the easiest option.
clips/audio_105.wav|If you plan to code or train models, clone T T S and install it locally.|If you plan to code or train models, clone T T S and install it locally.
clips/audio_106.wav|You can also try T T S without install with the docker image.|You can also try T T S without install with the docker image.
clips/audio_107.wav|You can then enjoy the T T S server here More details about the docker images like GPU support can be found here|You can then enjoy the T T S server here More details about the docker images like GPU support can be found here
clips/audio_108.wav|This way, you can clone voices by using any model in T T S.|This way, you can clone voices by using any model in T T S.
clips/audio_109.wav|For Fairseq models, use the following name format T T S_modelslang-iso_codefairseqvits.You can find the language ISO codes here and learn about the Fairseq models here.|For Fairseq models, use the following name format T T S_modelslang-iso_codefairseqvits.You can find the language ISO codes here and learn about the Fairseq models here.
clips/audio_110.wav|Get model info for both T T S_models and vocoder_models|Get model info for both T T S_models and vocoder_models
clips/audio_111.wav|Run T T S with default models|Run T T S with default models
clips/audio_112.wav|Run T T S and pipe out the generated T T S wav file data|Run T T S and pipe out the generated T T S wav file data
clips/audio_113.wav|Run a T T S model with its default vocoder model|Run a T T S model with its default vocoder model
clips/audio_114.wav|Run with specific T T S and vocoder models from the list|Run with specific T T S and vocoder models from the list
clips/audio_115.wav|Run your own T T S model Using Griffin-Lim Vocoder|Run your own T T S model Using Griffin-Lim Vocoder
clips/audio_116.wav|Run your own T T S and Vocoder models|Run your own T T S and Vocoder models
clips/audio_117.wav|Run the multi-speaker T T S model with the target speaker ID|Run the multi-speaker T T S model with the target speaker ID
clips/audio_118.wav|Run your own multi-speaker T T S model|Run your own multi-speaker T T S model
clips/audio_119.wav|Using T T S|Using T T S
clips/audio_120.wav|T T S Models|T T S Models
clips/audio_121.wav|Intro to A P I Platforms|Intro to A P I Platforms
clips/audio_122.wav|A P I documentation is a set of human-readable instructions for using and integrating with an A P I.|A P I documentation is a set of human-readable instructions for using and integrating with an A P I.
clips/audio_123.wav|A P I documentation includes detailed information about an A P I's available endpoints, methods, resources, authentication protocols, parameters, and headers, as well as examples of common requests and responses|A P I documentation includes detailed information about an A P I's available endpoints, methods, resources, authentication protocols, parameters, and headers, as well as examples of common requests and responses
clips/audio_124.wav|Effective A P I documentation improves the developer experience for private, partner, and public A P Is, but it also offers distinct benefits for each A P I type|Effective A P I documentation improves the developer experience for private, partner, and public A P Is, but it also offers distinct benefits for each A P I type
clips/audio_125.wav|For instance, private A P I documentation improves cross-team collaboration, while public A P I documentation makes it easier for leaders to understand a third-party A P I's intended use case and determine whether it will help advance their organization's business goals|For instance, private A P I documentation improves cross-team collaboration, while public A P I documentation makes it easier for leaders to understand a third-party A P I's intended use case and determine whether it will help advance their organization's business goals
clips/audio_126.wav|Teams that prioritize A P I documentation typically see higher rates of A P I adoption, fewer support tickets, andin the case of public A P Isincreased revenue.|Teams that prioritize A P I documentation typically see higher rates of A P I adoption, fewer support tickets, andin the case of public A P Isincreased revenue.
clips/audio_127.wav|Here, we'll start by discussing the role that A P I documentation plays in an A P I-first world|Here, we'll start by discussing the role that A P I documentation plays in an A P I-first world
clips/audio_128.wav|Then, we'll review the key components of A P I documentation, as well as some A P I documentation best practices|Then, we'll review the key components of A P I documentation, as well as some A P I documentation best practices
clips/audio_129.wav|Finally, we'll explore how the Postman A P I Platform enables producers to create A P I documentation that sets their consumers up for success.|Finally, we'll explore how the Postman A P I Platform enables producers to create A P I documentation that sets their consumers up for success.
clips/audio_130.wav|A P I-first is a development model in which applications are conceptualized and built by composing internal or external services that are delivered through A P Is|A P I-first is a development model in which applications are conceptualized and built by composing internal or external services that are delivered through A P Is
clips/audio_131.wav|This approach not only enables teams to build highly performant applications that are powered by an intricate web of microservices, but also complements the A P I-as-a-Product strategy, in which A P Is are offered as billable products to third-party consumers|This approach not only enables teams to build highly performant applications that are powered by an intricate web of microservices, but also complements the A P I-as-a-Product strategy, in which A P Is are offered as billable products to third-party consumers
clips/audio_132.wav|An increasing number of organizations are therefore adopting the A P I-first strategy to help them systematically develop high-quality A P Is that advance business objectives in myriad ways.|An increasing number of organizations are therefore adopting the A P I-first strategy to help them systematically develop high-quality A P Is that advance business objectives in myriad ways.
clips/audio_133.wav|A P I documentation plays a crucial role in ensuring the success of any A P Iwhether it's private or public|A P I documentation plays a crucial role in ensuring the success of any A P Iwhether it's private or public
clips/audio_134.wav|For instance, internal A P I documentation facilitates cross-team collaboration, reduces code duplication, and streamlines the onboarding process for new employees|For instance, internal A P I documentation facilitates cross-team collaboration, reduces code duplication, and streamlines the onboarding process for new employees
clips/audio_135.wav|In contrast, public A P I documentation helps potential consumers understand and experiment with an A P I, which leads to increased adoption and, by extension, revenue|In contrast, public A P I documentation helps potential consumers understand and experiment with an A P I, which leads to increased adoption and, by extension, revenue
clips/audio_136.wav|In fact, Postman's 2022 State of the A P I report indicates that documentation is one of the top four things leaders consider when deciding whether to integrate with a third-party A P I.|In fact, Postman's 2022 State of the A P I report indicates that documentation is one of the top four things leaders consider when deciding whether to integrate with a third-party A P I.
clips/audio_137.wav|There are many different types of A P I documentation, and each one plays an important role in helping consumers use an A P I effectively|There are many different types of A P I documentation, and each one plays an important role in helping consumers use an A P I effectively
clips/audio_138.wav|Every A P I is different and therefore requires documentation that is tailor-made for its consumers|Every A P I is different and therefore requires documentation that is tailor-made for its consumers
clips/audio_139.wav|Nevertheless, the following components can serve as an initial checklist for creating high-quality A P I documentation|Nevertheless, the following components can serve as an initial checklist for creating high-quality A P I documentation
clips/audio_140.wav|Authentication helps keep an A P I's data safe and secure, and it is the first hurdle that a developer must cross when using a new A P I|Authentication helps keep an A P I's data safe and secure, and it is the first hurdle that a developer must cross when using a new A P I
clips/audio_141.wav|If an A P I's authentication process is too difficult or poorly documented, the developer might become frustrated and decide to try a different A P I|If an A P I's authentication process is too difficult or poorly documented, the developer might become frustrated and decide to try a different A P I
clips/audio_142.wav|A P I documentation must therefore include a clear explanation of the available authentication methods and provide thorough, step-by-step instructions for obtaining and using authentication credentials.|A P I documentation must therefore include a clear explanation of the available authentication methods and provide thorough, step-by-step instructions for obtaining and using authentication credentials.
clips/audio_143.wav|A P I documentation should offer a comprehensive overview of every A P I endpoint and operation, including parameters, headers, and request and response bodies|A P I documentation should offer a comprehensive overview of every A P I endpoint and operation, including parameters, headers, and request and response bodies
clips/audio_144.wav|It should also thoroughly explain the relevant data models, including their required attributes and any default, minimum, and maximum values|It should also thoroughly explain the relevant data models, including their required attributes and any default, minimum, and maximum values
clips/audio_145.wav|Examples are a crucial part of effective A P I documentation, as they help consumers understand endpoint behavior under a variety of conditions|Examples are a crucial part of effective A P I documentation, as they help consumers understand endpoint behavior under a variety of conditions
clips/audio_146.wav|Examples can also be used to guide new users through a sequence of A P I calls that are involved in a specific workflow, which provides important insight into how an A P I can support sophisticated use cases.|Examples can also be used to guide new users through a sequence of A P I calls that are involved in a specific workflow, which provides important insight into how an A P I can support sophisticated use cases.
clips/audio_147.wav|Public A P I documentation should include a Terms of Use, which is a legal agreement that helps producers ensure their A P I's data and functionality is not abused by consumers|Public A P I documentation should include a Terms of Use, which is a legal agreement that helps producers ensure their A P I's data and functionality is not abused by consumers
clips/audio_148.wav|It should also include information on the A P I's rate limits, which dictate how many A P I calls a consumer can make in a given period of time|It should also include information on the A P I's rate limits, which dictate how many A P I calls a consumer can make in a given period of time
clips/audio_149.wav|Rate limits help protect an A P I from denial-of-service DoS attacks, as well as any other activity that may negatively affect its performance|Rate limits help protect an A P I from denial-of-service DoS attacks, as well as any other activity that may negatively affect its performance
clips/audio_150.wav|Writing A P I documentation is a multi-step process that requires familiarity with the A P I's functionality, empathy for its consumers, and a willingness to iterate|Writing A P I documentation is a multi-step process that requires familiarity with the A P I's functionality, empathy for its consumers, and a willingness to iterate
clips/audio_151.wav|A P I documentation is an essential deliverable that has a significant impact on consumers, and its quality can be directly correlated with the overall success of the A P I|A P I documentation is an essential deliverable that has a significant impact on consumers, and its quality can be directly correlated with the overall success of the A P I
clips/audio_152.wav|It is therefore crucial for teams to adhere to the following best practices when writing A P I documentation|It is therefore crucial for teams to adhere to the following best practices when writing A P I documentation
clips/audio_153.wav|Every A P I plays a unique role in the software landscape of its producers and consumers, and A P I documentation is responsible for telling its story|Every A P I plays a unique role in the software landscape of its producers and consumers, and A P I documentation is responsible for telling its story
clips/audio_154.wav|Documentation readers should be able to learn who the A P I is meant for, how they can use it, and how it can help them achieve their goals|Documentation readers should be able to learn who the A P I is meant for, how they can use it, and how it can help them achieve their goals
clips/audio_155.wav|This big picture provides important context for more technical implementation details, which can be useful as developers begin to understand the possibilities of a given A P I.|This big picture provides important context for more technical implementation details, which can be useful as developers begin to understand the possibilities of a given A P I.
clips/audio_156.wav|Many A P I development teams ship code changes several times a week, which puts their documentation at risk of falling out of date|Many A P I development teams ship code changes several times a week, which puts their documentation at risk of falling out of date
clips/audio_157.wav|It's therefore essential for teams to systematize the process of updating their documentation to ensure it always reflects the current state of their A P I in production|It's therefore essential for teams to systematize the process of updating their documentation to ensure it always reflects the current state of their A P I in production
clips/audio_158.wav|They should also capture updates in a changelog, which is a dated record of every change to an A P I's resources and functionality.|They should also capture updates in a changelog, which is a dated record of every change to an A P I's resources and functionality.
clips/audio_159.wav|A P I documentation is an important resource for a wide range of software and business professionals|A P I documentation is an important resource for a wide range of software and business professionals
clips/audio_160.wav|Developers will consult an A P I's documentation to learn how to interact with it, while CTOs may use documentation to help them understand an A P I's pricing and evaluate whether it will help them meet their business goals|Developers will consult an A P I's documentation to learn how to interact with it, while CTOs may use documentation to help them understand an A P I's pricing and evaluate whether it will help them meet their business goals
clips/audio_161.wav|For instance, they must thoroughly describe the A P I's functionality without relying too heavily on technical language or obscuring the larger purpose that the A P I serves.|For instance, they must thoroughly describe the A P I's functionality without relying too heavily on technical language or obscuring the larger purpose that the A P I serves.
clips/audio_162.wav|Postman's Public A P I Network is a global, centralized A P I catalog, where producers can share their A P Is and A P I documentation with a community of over 30 million developers|Postman's Public A P I Network is a global, centralized A P I catalog, where producers can share their A P Is and A P I documentation with a community of over 30 million developers
clips/audio_163.wav|Teams that publish their A P I documentation on the Public A P I Network can include detailed descriptions and tutorials, example requests and responses, and environment variables, which can increase A P I adoption and reduce ticket volumes|Teams that publish their A P I documentation on the Public A P I Network can include detailed descriptions and tutorials, example requests and responses, and environment variables, which can increase A P I adoption and reduce ticket volumes
clips/audio_164.wav|Some teams that have published excellent A P I documentation in the Public A P I Network include Stripe, Notion, PayPal, Amplitude, Salesforce, and DoorDash, and this list just scratches the surface|Some teams that have published excellent A P I documentation in the Public A P I Network include Stripe, Notion, PayPal, Amplitude, Salesforce, and DoorDash, and this list just scratches the surface
clips/audio_165.wav|Explore the Public A P I Network to see more.|Explore the Public A P I Network to see more.
clips/audio_166.wav|The Postman A P I Platform includes several features that enable teams to make effective documentation a core part of their A P I workflow|The Postman A P I Platform includes several features that enable teams to make effective documentation a core part of their A P I workflow
clips/audio_167.wav|It's jam-packed with updates to help you collaborate on your A P Is, augment yourself with AI, and more.|It's jam-packed with updates to help you collaborate on your A P Is, augment yourself with AI, and more.
clips/audio_168.wav|Installation Guides|Installation Guides
clips/audio_169.wav|Programming Guides|Programming Guides
clips/audio_170.wav|koo-duh A P I References|koo-duh A P I References
clips/audio_171.wav|PTX Compiler A P I References|PTX Compiler A P I References
clips/audio_172.wav|Compiler S D K|Compiler S D K
clips/audio_173.wav|The NVIDIA koo-duh Toolkit provides a development environment for creating high performance GPU-accelerated applications|The NVIDIA koo-duh Toolkit provides a development environment for creating high performance GPU-accelerated applications
